brand,model,processor_brand,processor_name,processor_gnrtn,ram_gb,ram_type,ssd,hdd,os,os_bit,graphic_card_gb,weight,display_size,warranty,Touchscreen,msoffice,,,discount,star_rating,ratings,reviews,latest_price,old_price
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,40990,49990,18,4.4,4008,519,7728664.5,9423115
ASUS,Missing,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,42990,50990,15,4.4,1869,234,8105764.5,9611615
ASUS,VivoBook,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44890,56999,21,3.9,7,0,8464009.5,10744311.5
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,41490,49990,17,4.4,4008,519,7822939.5,9423115
HP,15s,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,Missing,1,No,No,50990,51748,1,0,0,0,9614164.5,9754498
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,48900,50000,2,4.3,1278,135,9220095,9425000
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,No,No,40990,49990,18,4.4,4008,519,7728664.5,9423115
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,41790,54784,23,0,0,0,7879504.5,10326784
Lenovo,Ideapad,Intel,Core i3,11th,4 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,57999,85000,31,3.4,10,2,10935711.45,16022500
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,45930,58229,21,0,0,0,8660101.5,10976166.5
HP,Pavilion,Intel,Core i3,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,Yes,Yes,55490,65853,15,4.3,143,15,10462639.5,12413290.5
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,No,32890,46990,30,3.9,28,4,6201409.5,8857615
Lenovo,IdeaPad,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,35990,57290,37,4,2124,233,6785914.5,10799165
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,42490,50693,16,4,276,40,8011489.5,9555630.5
DELL,Vostro,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,42190,44780,5,3.9,250,21,7954924.5,8441030
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,39490,54517,27,4,1917,189,7445839.5,10276454.5
HP,15s,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,43690,48933,10,4.1,4999,490,8237749.5,9223870.5
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,35990,48990,26,3.8,17,0,6785914.5,9234615
DELL,3000,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,43800,55506,21,4.2,17,0,8258490,10462881
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38990,55890,30,0,0,0,7351564.5,10535265
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,34990,40990,14,3.7,4203,490,6597364.5,7726615
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38900,51990,25,3.9,13,0,7334595,9800115
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,39990,55534,27,3.8,15,1,7540114.5,10468159
DELL,INSPIRON,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,Missing,0,No,No,40890,45990,11,4,527,46,7709809.5,8669115
Lenovo,Missing,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,36990,57990,36,3.7,103,10,6974464.5,10931115
HP,15s,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,39990,45514,12,3.9,324,45,7540114.5,8579389
HP,Missing,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,41990,47264,11,4,69,5,7917214.5,8909264
DELL,Missing,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,Missing,0,No,No,43970,46138,4,3.9,16,0,8290543.5,8697013
HP,Notebook,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,39790,43296,8,3.9,40,3,7502404.5,8161296
ASUS,Missing,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,ThinNlight,Missing,0,No,No,35590,45990,22,3.4,12,1,6710494.5,8669115
HP,14s,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,36490,42787,14,3.8,1146,175,6880189.5,8065349.5
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,38990,45990,15,4,1850,216,7351564.5,8669115
ASUS,Missing,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,ThinNlight,Missing,0,No,No,33990,39990,15,3.7,43,7,6408814.5,7538115
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,Yes,43400,49000,11,4.1,231,26,8183070,9236500
ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,24990,30990,19,4.2,502,93,4711864.5,5841615
HP,15s,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,40750,43090,5,4.1,1096,116,7683412.5,8122465
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43000,46629,7,4.1,313,35,8107650,8789566.5
ASUS,Vivo,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,38000,42990,11,4.7,7,0,7164900,8103615
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.96,1,No,Yes,37990,51493,26,3.7,265,46,7163014.5,9706430.5
HP,DA,Intel,Core i3,7th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,2,Casual,15.6,0,No,No,49279,0,0,4.5,38,3,9291555.45,0
Lenovo,Missing,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,38999,50990,23,3.6,7,2,7353261.45,9611615
ASUS,Missing,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41500,51990,20,3,4,0,7824825,9800115
acer,Missing,Intel,Core i3,11th,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,36999,45000,17,0,0,0,6976161.45,8482500
DELL,Missing,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,42900,55351,22,0,0,0,8088795,10433663.5
ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,21490,25990,17,3.9,818,113,4051939.5,4899115
DELL,Insprion,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,41480,48990,15,3.8,25,4,7821054,9234615
ASUS,VivoBook,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,32990,43990,25,2,12,0,6220264.5,8292115
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,Casual,15.6,1,No,No,38680,51990,25,3.2,17,1,7293114,9800115
ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,23990,29990,20,4.1,974,170,4523314.5,5653115
DELL,Missing,Intel,Core i3,10th,8 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.96,0,No,No,40390,54992,26,3.2,83,15,7615534.5,10365992
ASUS,VivoBook,Intel,Core i3,10th,4 GB GB,DDR4,0 GB,1024 GB,Windows,64-bit,0,ThinNlight,14.1,0,No,No,33990,39990,15,3.4,31,6,6408814.5,7538115
ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,20490,24990,18,3.9,637,91,3863389.5,4710615
DELL,Vostro,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,41490,54782,24,5,7,5,7822939.5,10326407
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,45490,60371,24,4.3,207,16,8577139.5,11379933.5
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,15.6,0,No,No,44490,57479,22,4.3,844,103,8388589.5,10834791.5
ASUS,VivoBook,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14.1,1,No,Yes,41890,57990,27,4.2,53,6,7898359.5,10931115
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,42990,43126,0,4.1,62,7,8105764.5,8129251
acer,Travelmate,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,14,0,No,No,40990,60000,31,4.2,38,2,7728664.5,11310000
DELL,Inspiron,Intel,Core i3,11th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.1,724,92,9237064.5,11308115
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43590,59781,27,0,0,0,8218894.5,11268718.5
DELL,Inspiron,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,No,44690,60122,25,4.3,9,0,8426299.5,11332997
ASUS,ExpertBook,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,0,No,No,40990,51990,21,0,0,0,7728664.5,9800115
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43990,56743,22,0,0,0,8294314.5,10696055.5
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,43590,57863,24,0,0,0,8218894.5,10907175.5
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,41390,51976,20,4.2,56,7,7804084.5,9797476
DELL,Vostro,Intel,Core i3,10th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,44290,57858,23,0,0,0,8350879.5,10906233
DELL,Inspiron,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,Casual,Missing,1,No,No,48999,57095,14,0,0,0,9238761.45,10762407.5
DELL,Vostro,Intel,Core i3,11th,4 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,39990,45810,12,3.9,170,11,7540114.5,8635185
DELL,Missing,Intel,Core i3,10th,8 GB GB,DDR4,256 GB,1024 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,46390,59101,21,2.9,95,5,8746834.5,11140538.5
ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,18990,22990,17,3.6,197,25,3580564.5,4333615
ASUS,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,17990,21990,18,3.6,1180,148,3392014.5,4145115
HP,14a,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,26470,31532,16,3.6,232,23,4990918.5,5943782
HP,Chromebook,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,27990,31532,11,3.8,596,65,5277514.5,5943782
Lenovo,Celeron,Intel,Celeron Dual,Missing,4 GB GB,DDR4,0 GB,1024 GB,Windows,32-bit,0,Casual,15.6,0,No,No,29999,37400,19,3.3,19,1,5656311.45,7049900
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4X,0 GB,512 GB,Windows,64-bit,0,Casual,Missing,0,No,No,25990,40490,35,3.7,84,16,4900414.5,7632365
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,16990,24840,31,3.4,414,54,3203464.5,4682340
Lenovo,IdeaPad,Intel,Celeron Dual,Missing,4 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,24990,34890,28,2.8,70,16,4711864.5,6576765
acer,Predator,Intel,Core,Missing,4 GB GB,DDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,0,No,No,99990,149999,33,4.5,1336,186,18853114.5,28274811.5
acer,Aspire,Intel,Core i5,Missing,8 GB GB,DDR5,0 GB,512 GB,Windows,32-bit,4,Casual,Missing,0,No,No,50990,89999,43,4.4,10966,1185,9614164.5,16964811.5
acer,Spin,Intel,Core i5,Missing,8 GB GB,LPDDR4,0 GB,512 GB,Windows,32-bit,0,Casual,Missing,1,No,No,119990,124900,3,4,1,1,22624114.5,23543650
acer,Swift,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,94190,124999,24,4.3,31,6,17759524.5,23562311.5
ASUS,ROG,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,106167,120990,12,4.5,1881,241,20017787.85,22806615
DELL,Missing,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,1,No,No,68090,69500,2,1.6,23,4,12838369.5,13100750
DELL,XPS,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,ThinNlight,Missing,1,No,No,139990,155720,10,0,0,0,26395114.5,29353220
HP,15s,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,ThinNlight,Missing,0,No,No,55990,63179,11,4,818,109,10556914.5,11909241.5
HP,Omen,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,4,Casual,Missing,0,No,No,102551,0,0,0,0,0,19335991.05,0
lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,72990,90000,18,4.2,204,19,13762264.5,16965000
Lenovo,Ideapad,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,2,Casual,Missing,0,No,No,46990,62290,24,4.2,4428,569,8859964.5,11741665
MICROSOFT,Surface,Intel,Core i5,10th,8 GB GB,LPDDR4X,128 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,100190,104999,4,4.4,56,8,18890824.5,19792311.5
Smartron,t.book,Intel,Core i5,7th,8 GB GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,52990,55999,5,3.5,30,9,9991264.5,10555811.5
MICROSOFT,Surface,Intel,Core i5,8th,8 GB GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,Yes,No,91999,0,0,4.5,49,8,17346411.45,0
Smartron,t.book,Intel,Core i5,7th,4 GB GB,DDR3,128 GB,0 GB,Windows,64-bit,0,Casual,12.2,0,Yes,No,52990,55999,5,3.9,28,4,9991264.5,10555811.5
HP,Pavilion,Intel,Core i5,8th,8 GB GB,DDR4,128 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,76012,0,0,4.3,129,16,14332062.6,0
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,2,No,Yes,49490,75390,34,4.3,365,35,9331339.5,14211015
lenovo,Yoga,Intel,Core i5,10th,8 GB GB,LPDDR4,0 GB,512 GB,DOS,32-bit,0,Casual,Missing,0,No,No,102990,139890,26,4.6,79,14,19418764.5,26369265
acer,Swift,Intel,Core i5,7th,8 GB GB,DDR3,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,Yes,86867,99999,13,4.4,39,3,16378772.85,18849811.5
LG,Gram,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,76990,104000,25,4.5,15,7,14516464.5,19604000
LG,Gram,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,76990,106000,27,0,0,0,14516464.5,19981000
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,No,No,48990,58990,16,0,0,0,9237064.5,11119615
LG,Gram,Intel,Core i5,10th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,0,No,No,62990,99000,36,4.6,68,20,11876764.5,18661500
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,55990,71578,21,3.3,3,0,10556914.5,13492453
acer,Swift,Intel,Core i5,8th,8 GB GB,DDR3,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,1,Yes,Yes,81998,82799,0,4,14,3,15460722.9,15607611.5
LG,Gram,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,Missing,0,No,No,76990,106000,27,0,0,0,14516464.5,19981000
HP,Spectre,Intel,Core i5,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,Missing,1,Yes,Yes,136590,151133,9,0,0,0,25754044.5,28488570.5
acer,Swift,Intel,Core i5,8th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,13.3,1,No,No,59490,65546,9,3.5,33,7,11216839.5,12355421
ASUS,VivoBook14,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,ThinNlight,14.1,1,No,No,49800,66990,25,0,0,0,9389790,12627615
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,256 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,61999,68999,10,2.8,4,0,11689911.45,13006311.5
HP,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,54990,70171,21,4.2,116,15,10368364.5,13227233.5
HP,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,53990,70171,23,4.1,206,17,10179814.5,13227233.5
Lenovo,Ideapad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,2,No,Yes,52990,74390,28,4.2,300,24,9991264.5,14022515
HP,Pavilion,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,67990,78294,13,4.5,108,6,12819514.5,14758419
ASUS,TUF,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,No,57990,81990,29,4.5,3712,412,10934014.5,15455115
Lenovo,Ideapad,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,Yes,62300,101390,38,4.4,825,95,11746665,19112015
realme,Book(Slim),Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,Yes,52990,69999,24,4.4,3470,505,9991264.5,13194811.5
Lenovo,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,52990,84890,37,0,0,0,9991264.5,16001765
Lenovo,IdeaPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,2,No,Yes,51990,88990,41,4.2,85,4,9802714.5,16774615
Lenovo,IdeaPad,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,61990,97890,36,4.2,56,7,11688214.5,18452265
RedmiBook,Pro,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,1,No,No,48990,59990,18,4.2,1708,242,9237064.5,11308115
ASUS,VivoBook,Intel,Core i5,11th,8 GB GB,LPDDR4X,512 GB,0 GB,Windows,32-bit,0,Casual,14,1,Yes,Yes,63990,82990,22,4.6,10,1,12065314.5,15643615
Lenovo,ThinkPad,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,Yes,65990,78109,15,4.6,17,4,12442414.5,14723546.5
Nokia,PureBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,47990,90000,46,4.4,1119,242,9048514.5,16965000
acer,Aspire,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,52990,75999,30,4.2,155,20,9991264.5,14325811.5
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,1,No,No,49990,79690,37,0,0,0,9425614.5,15021565
ASUS,ASUS,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,17.3,0,No,No,71990,115990,37,4.4,91,17,13573714.5,21864115
ASUS,VivoBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,15.6,1,No,No,47990,62990,23,4,35,2,9048514.5,11873615
Nokia,PureBook,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,45990,74990,38,4.7,6,1,8671414.5,14135615
Lenovo,IdeaPad,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,32-bit,0,ThinNlight,15.6,2,No,Yes,48490,64290,24,4.3,126,13,9142789.5,12118665
ASUS,ASUS,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,17.3,0,No,No,72990,105990,31,4.5,74,10,13762264.5,19979115
MSI,Katana,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,2,No,No,76990,106990,28,4.6,75,17,14516464.5,20167615
ASUS,TUF,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,6,Gaming,15.6,1,No,Yes,89990,129990,30,4.6,124,17,16967614.5,24503115
MSI,GF63,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,15.6,2,No,No,59990,83990,28,4.5,1597,228,11311114.5,15832115
ASUS,TUF,Intel,Core i5,10th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Gaming,15.6,1,No,Yes,65990,89990,26,4.4,3850,378,12442414.5,16963115
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,0,Yes,No,71990,94201,23,4.7,7,1,13573714.5,17756888.5
DELL,Inspiron,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,0,Yes,No,71890,92549,22,4.3,3,0,13554859.5,17445486.5
Lenovo,IdeaPad,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,64990,97890,33,0,0,0,12253864.5,18452265
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,Casual,14,1,No,No,65990,90990,27,0,0,0,12442414.5,17151615
HP,Missing,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,15.6,0,No,No,55999,66050,15,4.8,5,1,10558611.45,12450425
ASUS,VivoBook,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,4,Casual,14,1,No,No,73490,110990,33,4.5,213,45,13856539.5,20921615
HP,Pavilion,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,74490,85359,12,4.3,10,0,14045089.5,16090171.5
HP,Pavilion,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,Yes,58340,74839,22,4,69,6,11000007,14107151.5
acer,Aspire,Intel,Core i5,11th,8 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,1,No,No,55999,75999,26,4.5,6,0,10558611.45,14325811.5
DELL,Inspiron,Intel,Core i5,11th,16 GB GB,DDR4,512 GB,0 GB,Windows,64-bit,0,ThinNlight,14,0,No,No,67990,89849,24,4.4,93,9,12819514.5,16936536.5
